"
Organization Name ","
            Date(s) of Breach          ","
Reported Date "
b'\nRennline Automotive ',"b'\n05/28/2018, 06/13/2018, 06/15/2018, 07/12/2018, 07/20/2018, 08/13/2018, 08/22/2018, 01/18/2019 '",b'\n            02/21/2019          '
"b'\nThe Topps Conpany, Inc. '","b'\n11/19/2018, 01/09/2019 '",b'\n            02/21/2019          '
"b'\nMartin, Hutchison and Hohman, CPAs '",b'\n02/15/2019 ',b'\n            02/21/2019          '
b'\nUniversity of Washington Medical Center (\xe2\x80\x9cUWM\xe2\x80\x9d) ',"b'\n12/04/2018, 01/10/2019 '",b'\n            02/20/2019          '
b'\nCentinela Valley Union High School District ',b'\n01/29/2019 ',b'\n            02/19/2019          '
b'\nCJ Products Inc. ',b'\n08/30/2017 ',b'\n            02/19/2019          '
b'\nHourglass ',b'\n07/03/2018 ',b'\n            02/15/2019          '
"b'\nPrint EZ, Inc. '","b'\n09/01/2016, 09/23/2018 '",b'\n            02/15/2019          '
"b""\nCalifornia Physicians' Service d/b/a Blue Shield of California ""","b'\n05/22/2018, 06/26/2018 '",b'\n            02/15/2019          '
"b'\nVolt Information Sciences, Inc.  '","b'\n08/06/2018, 10/04/2018 '",b'\n            02/15/2019          '
b'\nAltaMed Health Services Corporation ',b'\n05/21/2018 ',b'\n            02/15/2019          '
"b'\nNorth Country Business Products, Inc. '",b'\n01/03/2019 ',b'\n            02/15/2019          '
b'\nNorth 40 Outfitters ',"b'\n02/02/2018, 11/20/2018 '",b'\n            02/14/2019          '
"b'\nFive Below, Inc. '",b'\n11/13/2018 ',b'\n            02/14/2019          '
"b'\nStanwich Mortgage Loan Trust A, C, and D  '","b'\n02/01/2018, 01/24/2019 '",b'\n            02/12/2019          '
"b'\nDavid B. Cheatham, CPA '",b'\n12/08/2018 ',b'\n            02/11/2019          '
"b'\nDon Best Corporation, a subsidiary of Scientific Games Corporation '","b'\n10/12/2018, 10/28/2018 '",b'\n            02/06/2019          '
"b'\nBayside Covenant Church, Inc. '","b'\n08/03/2018, 10/20/2018 '",b'\n            02/05/2019          '
b'\nAbbott Laboratories ',b'\n01/19/2019 ',b'\n            02/05/2019          '
"b'\nApplied Data Finance, LLC d/b/a Personify Financial '",b'\n07/21/2018 ',b'\n            02/01/2019          '
b'\nSierra View Medical Center ',b'\n            n/a          ',b'\n            02/01/2019          '
b'\nAllen Chern LLP ',"b'\n07/27/2018, 07/30/2018 '",b'\n            01/28/2019          '
b'\nVerity Medical Foundation ',b'\n11/28/2018 ',b'\n            01/28/2019          '
b'\nVerity Health System ',b'\n11/27/2018 ',b'\n            01/25/2019          '
b'\nDiscover Financial Services ',b'\n08/13/2018 ',b'\n            01/25/2019          '
b'\nDepartment of Rehabilitation ',b'\n01/09/2019 ',b'\n            01/25/2019          '
b'\nZurich American Insurance Company ',"b'\n08/01/2018, 12/31/2018 '",b'\n            01/21/2019          '
b'\nPharmaca Integrative Pharmacy Inc. ',"b'\n07/19/2018, 12/12/2018 '",b'\n            01/18/2019          '
"b'\nAetrex Worldwide, Inc. '","b'\n06/22/2018, 11/20/2018, 12/04/2018 '",b'\n            01/17/2019          '
b'\nGraeter\xe2\x80\x99s Ice Cream Company ',b'\n06/28/2018 ',b'\n            01/15/2019          '
"b'\nA&A Global Imports, Inc. '",b'\n            n/a          ',b'\n            01/14/2019          '
"b'\nJensen Enterprises, Inc. d/b/a Jensen Precast '",b'\n08/23/2018 ',b'\n            01/11/2019          '
"b'\nInternational E-Z UP, Inc. '","b'\n05/11/2018, 08/02/2018 '",b'\n            01/11/2019          '
b'\nCenterstone Insurance and Financial Services d/b/a BenefitMall ',"b'\n06/13/2018, 10/11/2018 '",b'\n            01/03/2019          '
b'\nHumana Inc ',b'\n05/30/2018 ',b'\n            01/03/2019          '
"b'\nOXO International, Ltd. '",b'\n07/01/2018 ',b'\n            01/03/2019          '
"b'\nAimbridge Hospitality Holdings, LLC '","b'\n06/07/2018, 09/24/2018 '",b'\n            01/02/2019          '
b'\nHammer Nutrition ',b'\n01/01/2018 ',b'\n            01/02/2019          '
b'\nWolverine Solutions Group ',b'\n09/23/2018 ',b'\n            12/28/2018          '
"b'\nMJ Insurance, Inc '",b'\n09/26/2018 ',b'\n            12/27/2018          '
"b'\nBEL USA, LLC (""BEL"") through its website DiscountMugs.com '",b'\n08/05/2018 ',b'\n            12/26/2018          '
b'\nSan Jose State University ',b'\n12/10/2018 ',b'\n            12/26/2018          '
b'\nJAND Inc. d/b/a Warby Parker ',"b'\n09/25/2018, 11/30/2018 '",b'\n            12/21/2018          '
"b'\nMichael Koch, dba Lockhart, Britton & Koch '",b'\n11/25/2018 ',b'\n            12/20/2018          '
"b'\nBeverages & More, Inc. dba BevMo! '","b'\n08/02/2018, 09/26/2018 '",b'\n            12/14/2018          '
"b'\nACE Cash Express, Inc. '",b'\n10/27/2018 ',b'\n            12/14/2018          '
b'\nSpringstone Financial ',"b'\n07/27/2018, 08/02/2018 '",b'\n            12/14/2018          '
b'\nContra Costa Health Plan ',"b'\n12/01/2014, 05/22/2018 '",b'\n            12/13/2018          '
b'\nAlly Bank ',b'\n11/11/2018 ',b'\n            12/13/2018          '
b'\nASI Computer Systems ',b'\n12/01/2016 ',b'\n            12/12/2018          '
