,Date Notice Provided to Consumers,Dates of Breach,Name of Entity,Individuals Affected,State Reported
0,2017-08-17,2016-08-10,1Hotel,529 (3 in Indiana),Indiana
1,2017-07-10,2016-08-10,21cMuseumHotelsLLC,3746 (151 in Indiana),Indiana
2,2017-04-05,2017-02-03,"3BirdsMarketing,LLC",92 (1 in Indiana),Indiana
3,2017-07-14,2017-06-22,"AaronJ.Butler,AttorneyatLaw",303 (303 in Indiana),Indiana
4,2017-09-11,2017-08-25,"ABB,Inc.",28012 (127 in Indiana),Indiana
5,2017-02-23,,AbbottNutrition,1652 (120140 in Indiana),Indiana
6,2017-01-24,2017-01-12,ABNBFederalCreditUnion,293 (1 in Indiana),Indiana
7,2013-04-12,2017-03-10,"ADFInternational,Inc.",303 (1 in Indiana),Indiana
8,2017-04-19,2017-03-09,"AdvancedICUCare,Inc.",320 (1 in Indiana),Indiana
9,2017-09-22,2017-07-04,Aero-TechLightBulbCo.,802 (20 in Indiana),Indiana
10,2017-02-24,2016-02-01,"AffyTapple,LLC",Unknown (37 in Indiana),Indiana
11,2017-09-01,2017-07-05,"AffyTapple,LLC",Unknown (4 in Indiana),Indiana
12,2017-05-04,2016-11-22,AgriBeefCo.,7933 (77 in Indiana),Indiana
13,2017-01-12,2017-01-10,"AGSManufacturing,Inc.",60 (1 in Indiana),Indiana
14,2017-08-24,2016-08-10,"AimbridgeHospitalityHoldings,LLC",14884 (66 in Indiana),Indiana
15,2017-09-01,2016-11-01,Akira,22513 (952 in Indiana),Indiana
16,2017-04-13,2017-03-14,AlamoCapital,1537 (1 in Indiana),Indiana
17,2017-09-06,2017-07-25,Allergan,150 (1 in Indiana),Indiana
18,2017-04-07,,AllstateInsuranceCompany,358 (1 in Indiana),Indiana
19,2017-04-10,2017-01-01,AlphaChiSigma,25 (5 in Indiana),Indiana
20,2017-09-15,2017-07-31,"AM2Enterprises,LLC",13088 (246 in Indiana),Indiana
21,2017-02-28,,AmbassadorTitleServiceandDRITitle&Escrow,Unknown (34 in Indiana),Indiana
22,2017-08-21,2017-04-12,AmericanFriendsServiceCommittee,269 (4 in Indiana),Indiana
23,2017-09-07,,AmericanGeneralLifeInsuranceCompany,1 (1 in Indiana),Indiana
24,2017-04-28,2017-04-13,"AmericanHealthNetworkofIndiana,LLC",105 (103 in Indiana),Indiana
25,2017-05-17,2016-10-01,"AmericanHealthNetworkofIndiana,LLC",30 (30 in Indiana),Indiana
26,2017-03-22,2017-01-24,AmericanHospitalAssociation,31 (2 in Indiana),Indiana
27,2016-12-29,2016-04-23,AmericanPharmacistsAssociation,Unknown (Unknown in Indiana),Indiana
28,2017-02-18,2017-01-11,AmericanSeniorCommunities,18000 (18000 in Indiana),Indiana
29,2017-03-17,2017-03-03,AmericanTireDistributorsHoldingsInc.,5391 (44 in Indiana),Indiana
30,2017-03-27,2017-03-21,"Ameriflight,LLC",876 (6 in Indiana),Indiana
31,2017-03-15,2016-12-05,AmeripriseFinancialInc,687 (1 in Indiana),Indiana
32,2017-04-07,,AmeripriseFinancialInc,1 (1 in Indiana),Indiana
33,2017-02-27,,AmeripriseFinancialInc,2 (2 in Indiana),Indiana
34,2017-02-17,2017-02-02,"AmplifyEducation,Inc.",560 (4 in Indiana),Indiana
35,2017-02-05,2017-01-27,"AnchorPackaging,Inc.",1538 (4 in Indiana),Indiana
36,2017-07-28,2016-07-08,Anthem,Unknown (1606 in Indiana),Indiana
37,2017-02-25,2016-02-01,"Aptos,Inc.",Unknown (28513 in Indiana),Indiana
38,2017-07-14,2016-08-10,Aqua-AstonHospitalityLLC,11827 (44 in Indiana),Indiana
39,2017-02-22,2016-01-05,"ArabellaAdvisors,LLC",553 (3 in Indiana),Indiana
40,2017-04-26,2017-02-16,ArabianHorseAssociation,54 (1 in Indiana),Indiana
41,2017-03-20,2017-02-07,ArapahoeMentalHealthCenterd/b/aAllHealthNetwork,578 (1 in Indiana),Indiana
42,2017-03-10,2016-10-20,"Arby'sRestaurantGroup,Inc.",unknown (unknown in Indiana),Indiana
43,2017-02-22,2017-02-06,ArcelorMittalUSALLC,42 (10 in Indiana),Indiana
44,2017-09-01,2017-05-31,ArcherDanielsMidland,301 (9 in Indiana),Indiana
45,2017-01-26,2017-01-18,ArgyleIndependentSchoolDistrict,473 (1 in Indiana),Indiana
46,2017-02-24,2017-02-03,AshlandUniversity,Unknown (8 in Indiana),Indiana
47,2017-07-14,2016-07-12,"AspenTennessee,LLCd/b/aHotelPreston",269 (2 in Indiana),Indiana
48,2017-06-16,2017-05-01,AssurantInc.asagentforCitiMortgageInc.,286 (4 in Indiana),Indiana
49,2017-02-06,2017-02-02,AstadiaInc.,437 (1 in Indiana),Indiana
50,2017-05-19,2017-01-25,"AT&TServices,Inc.",14878 (336 in Indiana),Indiana
51,2017-03-14,2017-01-26,"AuroraSpecialtyTextilesGroup,Inc.",98 (1 in Indiana),Indiana
52,2017-02-14,2017-02-03,"AutoneumNorthAmerica,Inc.",Unknown (376 in Indiana),Indiana
53,2017-07-24,2017-07-02,AvantiMarketsInc.,unknown (unknown in Indiana),Indiana
54,2017-02-27,2017-02-23,B.C.ZieglerandCompany,145 (1 in Indiana),Indiana
55,,,BallStateUniversity,Unknown (Unknown in Indiana),Indiana
56,2017-04-05,2017-01-25,BankersLifeandCasualtyCompany,4 (4 in Indiana),Indiana
57,2017-03-06,2017-01-05,BarclaysBankDelaware,37 (1 in Indiana),Indiana
58,2017-05-10,2017-04-27,"BechtelOil,Gas&ChemicalsConstructionServices,Inc.",8937 (8 in Indiana),Indiana
59,2017-02-03,2017-02-02,BeckerLandscape,205 (205 in Indiana),Indiana
60,2017-07-14,2017-03-01,"BedrockManufacturingCompany,LLC",965 (3 in Indiana),Indiana
61,2017-02-24,2017-10-23,Benchmark,Unknown (Unknown in Indiana),Indiana
62,2017-06-30,2017-02-17,"BettyLou's,Inc.",453 (2 in Indiana),Indiana
63,2017-03-13,2017-03-02,BiomedicalSystemsCorporation,405 (1 in Indiana),Indiana
64,2017-04-07,2017-02-16,"BlittandGaines,P.C.",1 (1 in Indiana),Indiana
65,2017-02-07,2017-01-10,"Bloem,LLC",93 (1 in Indiana),Indiana
66,2017-04-12,2017-03-24,"BluestemBrands,Inc.",10259 (220 in Indiana),Indiana
67,2017-03-17,,BMOHarrisBank,Unknown (1201 in Indiana),Indiana
68,2017-05-31,2017-05-15,BMOHarrisBankN.A.,38391 (1726 in Indiana),Indiana
69,2017-06-21,2017-05-21,BMV,1 (1 in Indiana),Indiana
70,,,BMV*,Unknown (Unknown in Indiana),Indiana
71,2017-06-23,2017-05-26,"BolttechMannings,Inc.",14 (2 in Indiana),Indiana
72,2017-03-02,2017-02-21,"BostwickLaboratories,Inc.",269 (2 in Indiana),Indiana
73,2017-01-03,2016-12-06,BowlingGreenStateUniversity,Unknown (1 in Indiana),Indiana
74,2017-04-22,2017-02-27,Brace Industrial Group/Platinum Scaffolding Services,1005 (12 in Indiana),Indiana
75,2017-09-19,2017-08-14,BramblesUSAInc.,105 (5 in Indiana),Indiana
76,2017-09-18,2017-08-06,BrandMortgage,329 (1 in Indiana),Indiana
77,2017-06-12,2017-06-04,BridgeInvestmentGroupLLC,1948 (8 in Indiana),Indiana
78,2017-07-12,2017-06-01,BrighamYoungUniversity,Unknown (3 in Indiana),Indiana
79,2017-05-12,2016-04-04,BrooksBrothers,unknown (unknown in Indiana),Indiana
80,2017-09-23,,"Brown/Armstrong,PC",1003 (1 in Indiana),Indiana
81,2017-04-07,2017-02-09,"Brownells,Inc.",512 (1 in Indiana),Indiana
82,2017-07-11,2017-07-07,BrownsburgParksandRecreation,1 (1 in Indiana),Indiana
83,2017-03-21,2016-10-26,"Bulletproof360,Inc.",28033 (363 in Indiana),Indiana
84,2017-07-14,2017-03-23,BurdetteSmith&BishLLC,14185 (47 in Indiana),Indiana
85,2017-09-01,2017-08-05,CaesarsEntertainment,162 (2 in Indiana),Indiana
86,2017-06-23,2017-01-18,"CaliberHomeLoans,Inc.",144644 (12338 in Indiana),Indiana
87,2017-03-02,2017-02-22,CamelotEducation,1427 (1 in Indiana),Indiana
88,2017-01-27,2017-01-25,CampbellCountyHealth,1456 (2 in Indiana),Indiana
89,2017-06-01,,CampbellUnionHighSchoolDistrict,Unknown (1 in Indiana),Indiana
90,2017-05-10,2016-12-01,CapitalFirstTrustCompany,81 (1 in Indiana),Indiana
91,2017-08-03,2017-01-07,"Carranco&Lawson,PC",779 (1 in Indiana),Indiana
92,2017-03-01,2017-02-09,CayanLLC,331 (1 in Indiana),Indiana
93,2017-07-12,2016-08-01,"CBRE,Inc.",94 (2 in Indiana),Indiana
94,2017-08-28,,"CBSConsolidated,Inc.,d/b/aCornerstoneBusiness&ManagementSolutions",21847 (595 in Indiana),Indiana
95,2017-01-18,2016-05-05,"CCCRestaurantEnterprises,LLC",Unknown (Unknown in Indiana),Indiana
96,2017-01-18,2016-10-19,"CCSTechnologyGroup,LLC",Unknown (1 in Indiana),Indiana
97,2017-02-20,2017-01-30,CenturyLink,8161 (48 in Indiana),Indiana
98,2017-07-26,2017-01-30,Chang-ShengInc.DBADirectron.com,657 (12 in Indiana),Indiana
99,2017-05-24,2017-03-22,"Char-Broil,LLC",17124 (545 in Indiana),Indiana
100,2017-01-26,2015-03-01,"Charleskomar&Sons,Inc.",25127 (437 in Indiana),Indiana
101,2017-07-19,2016-08-10,CharlesSchwabCoInc,442 (6 in Indiana),Indiana
102,2017-05-24,2000-06-01,CharlesSchwabCoInc,940 (15 in Indiana),Indiana
103,2017-02-06,2017-01-25,ChartwellHospitalityLLC,1636 (1 in Indiana),Indiana
104,2017-02-09,2017-01-10,"Chester,Inc.",53 (53 in Indiana),Indiana
105,2017-05-01,2017-04-13,ChicagoMethodistSeniorServices,669 (2 in Indiana),Indiana
106,2017-07-13,2017-06-30,"ChicagoTitleCompany,LLC",Unknown (2 in Indiana),Indiana
107,2017-07-31,2017-07-21,"ChicagoTitleCompany,LLC",1 (1 in Indiana),Indiana
108,2017-02-13,2017-02-01,"ChicagoTitleCompany,LLC",1 (1 in Indiana),Indiana
109,2017-02-28,2017-01-22,"ChimesGourmet-RoxyTrading,Inc.",443 (4 in Indiana),Indiana
110,2017-05-26,2017-03-24,"ChipotleMexicanGrill,Inc.",unknown (unknown in Indiana),Indiana
111,2017-05-24,,Cigna,267 (2 in Indiana),Indiana
112,2017-03-08,2017-01-26,CintasCorporation,463 (2 in Indiana),Indiana
113,2017-04-11,2017-03-27,CitiBank,38 (1 in Indiana),Indiana
114,2017-03-29,2016-08-24,CitibankNA,33 (1 in Indiana),Indiana
115,2017-05-31,2017-05-16,CitibankNA,1 (1 in Indiana),Indiana
116,2017-03-01,2017-02-02,CitibankNA,5 (1 in Indiana),Indiana
117,2017-02-20,2017-02-08,CitizensMemorialHospitalDistrictandCitizensMemorialHealthcareFoundation,2504 (1 in Indiana),Indiana
