,Link to PDF,Name of Entity,PDF text (ALL),Reported Date,State Reported
0,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Citibank_South_Dakota_N_46F80EB867EBB.pdf,"Citibank (South Dakota), N.A.",b'\x0c\x0c\x0c',2011,Iowa
1,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Epsilon_Data_Management__53109E8E6E27A.pdf,"Epsilon Data Management, LLC",b'\x0c\x0c',2011,Iowa
2,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Health_Net_ACA32C7A083DE.pdf,Health Net,b'\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c',2011,Iowa
3,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Nordstrom_Inc_F201E388BECB2.pdf,"Nordstrom, Inc.",b'\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c',2011,Iowa
4,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Sony_Online_Entertainmen_426FE72AC4989.pdf,Sony Online Entertainment,b'\x0c\x0c',2011,Iowa
5,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Akliz_Inc_1A4E590B979BE.pdf,"Akliz, Inc.",b'\x0c\x0c\x0c',2012,Iowa
6,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Great_River_Entertainmen_E339F9F4AF5E0.pdf,"Great River Entertainment, LLC",b'\x0c\x0c',2012,Iowa
7,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Impairment_Resources_1D5A5C04F5860.pdf,Impairment Resources,b'\x0c\x0c\x0c',2012,Iowa
8,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Nationwide_Insurance_Co_334A9D7C3DFE5.pdf,Nationwide Insurance Co.,b'\x0c\x0c\x0c\x0c',2012,Iowa
9,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Reuseit_8AC49EC27ED4A.pdf,Reusesit.com,b'\x0c\x0c',2012,Iowa
10,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Transcend_Capital_196A3969F4279.pdf,Transcend Capital,b'\x0c\x0c\x0c',2012,Iowa
11,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_University_of_North_Caro_7449FD73E5325.pdf,University of North Carolina at Charlotte,b'\x0c\x0c',2012,Iowa
12,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_DaVita_CEBDC4AA9A7D3.pdf,DaVita,b'\x0c\x0c\x0c\x0c\x0c\x0c',2013,Iowa
13,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Mass_Mutual_Financial_Gr_E4EB7EAD1B0DD.pdf,Mass Mutual Financial Group 1,b'\x0c\x0c\x0c\x0c\x0c',2013,Iowa
14,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Mass_Mutual_Financial_Gr_A2A2B7088483A.pdf,Mass Mutual Financial Group 2,b'\x0c\x0c\x0c\x0c\x0c\x0c',2013,Iowa
15,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Mass_Mutual_Financial_Gr_C02984BE987A3.pdf,Mass Mutual Financial Group 3,b'\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c',2013,Iowa
16,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Quayside_Publishing_Grou_2C482FDCB5A80.pdf,Quayside Publishing Group,b'\x0c\x0c\x0c\x0c',2013,Iowa
