,Cause of Breach,Data Stolen,Date Notice Provided to Consumers,Date(s) of Discovery of Breach,Dates of Breach,Entity Address,Entity Type,Individuals Affected,Name of Entity,State Reported
0,,Social Security Number Driver's license number or non-driver identification card number ,1/25/19,12/12/18,9/1/18,3301 College AvenueFort LauderdaleFL33314,Educational ,4681(3 in Maine),Nova Southeastern University,Maine
1,,Social Security Number ,1/25/19,12/27/18,8/1/17-12/27/18,2600 West Hall LaneMaitlandFlorida32751,Health Care ,29621(14 in Maine),AdventHealth Medical Group,Maine
2,Unauthorized access to email accounts,Social Security Number ,1/17/19,Recently learned - no exact date given,4/23/18-5/1/18,Not ProvidedNot providedNot providedNot provided,Financial Services ,Not stated(1 in Maine),"DiGiovine, Hnilo, Jordan + Johnson Ltd (""DHJJ"")",Maine
3,,Driver's license number or non-driver identification card number ,01/23/2019,01/10/2019,between 2015 and January 2019,"1828 L Street NW, Suite 1200WashingtonDC20036",Not-for-Profit ,Potentially 208(2 in Maine),American Councils,Maine
4,Insider wrongdoingf,Social Security Number ,f,f,f,ffff,Other Commercial ,f(f in Maine),f,Maine
5,Email phishing event,Driver's license number or non-driver identification card number ,1/18/19,12//718,10/19/18,8000 Centerview ParkwayCordovaTN38018,Other Commercial ,95(1 in Maine),"OR Nurses Credentialing c/o Data Facts, Inc.",Maine
6,Unauthorized access to email accounts,Social Security Number ,12/26/18 and 1/18/19,11/29/18,12/6/17-12/12/17,"11020 David Taylor Drive, Suite 305CharlotteNC28262-1103",Other Commercial ,5370(2 in Maine),4A's Benefits on behalf of Entities listed in Exhibit 1,Maine
7,Phishing Incident,Social Security Number ,1/18/19,11/23/18,10/9/18,103 S. Wabash Ave.NortonKS67654,Not-for-Profit ,"70,799(15 in Maine)",Valley Hope Association,Maine
8,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",1/22/19,1/2/19,1/2/19,1860 Capital Circle N.E.TallahasseeFL32308,Financial Services ,"11,011(2 in Maine)","Capital City Bank Group, Inc.",Maine
9,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ","January 23, 2019","December 28, 2018","July 7, 2018 - December 24, 2018",150 East 42nd StreetNew YorkNY10017,Other Commercial ,933(2 in Maine),"ALM Media, LLC",Maine
10,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",1/17/19,12/17/18,"8/22/18-11/20/18, 12/4/18",414 Alfred AvenueTeaneckNJ07666,,"14,291(87 in Maine)","Aetrex World Wide, Inc.",Maine
11,"External system breach (e.g., hacking)External system breach (e.g., hacking)Unauthorized code inserted on e-commerce website","Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",1/18/2019,1/8/2019,11/6/2018 - 11/26/2018,4537 Hillsborough Rd.DurhamNC27705,Other Commercial ,273(2 in Maine),"Prime Life Fibers, Inc.",Maine
