,Link to PDF,Dates of Breach,Name of Entity,State Reported
0,https://www.doj.nh.gov/consumer/security-breaches/documents/ez-up-20190111.pdf,"January 9, 2019","A&A Global Imports, Inc., ",New Hampshire
1,https://www.doj.nh.gov/consumer/security-breaches/documents/aarons-20111018.pdf,October 18 2011,"Aaron's, ",New Hampshire
2,https://www.doj.nh.gov/consumer/security-breaches/documents/abm-20180308.pdf,"March 08, 2018",ABM Industries Inc.,New Hampshire
3,https://www.doj.nh.gov/consumer/security-breaches/documents/abm-20171114.pdf,"November 14, 2017","ABM Industries Inc., ",New Hampshire
4,https://www.doj.nh.gov/consumer/security-breaches/documents/ab-acquisition-20140929.pdf,"September 29, 2014",AB Acquisition LLC (Shaw's) ,New Hampshire
5,https://www.doj.nh.gov/consumer/security-breaches/documents/ab-acquisition-20140829.pdf,"August 29, 2014",AB Acquisition LLC (Shaw's) ,New Hampshire
6,https://www.doj.nh.gov/consumer/security-breaches/documents/ab-acquisition-20140815.pdf,"August 15, 2014","AB Acquisition LLC (Shaw's), ",New Hampshire
7,https://www.doj.nh.gov/consumer/security-breaches/documents/abb-20170911.pdf,"September 11, 2017","ABB, Inc., ",New Hampshire
8,https://www.doj.nh.gov/consumer/security-breaches/documents/abbott-laboratories-20190205.pdf,"February 5, 2019","Abbott Laboratories,  ",New Hampshire
9,https://www.doj.nh.gov/consumer/security-breaches/documents/abbott-medical-20100201.pdf,"February 01, 2010","Abbott Medical Optics Inc., ",New Hampshire
10,https://www.doj.nh.gov/consumer/security-breaches/documents/abbott-nutition-20170223.pdf,"February 23, 2017","Abbott Nutrition, ",New Hampshire
11,https://www.doj.nh.gov/consumer/security-breaches/documents/abc-carpet-home-20171009.pdf,"October 09, 2017","ABC Carpet and Home, ",New Hampshire
12,https://www.doj.nh.gov/consumer/security-breaches/documents/abc-bus-20180302.pdf,March 02. 2018,"ABC Bus Companies, Inc., ",New Hampshire
13,https://www.doj.nh.gov/consumer/security-breaches/documents/abc-phones-20180413.pdf,"April 13, 2018","ABC Phones of North Carolina, Inc. dba Victra, ",New Hampshire
14,https://www.doj.nh.gov/consumer/security-breaches/documents/abel-womack-20160309.pdf,"March 09, 2016","Abel Womack, ",New Hampshire
15,https://www.doj.nh.gov/consumer/security-breaches/documents/abeles-20180213.pdf,"February 13, 2018","Abeles & Hoffman, PC, ",New Hampshire
16,https://www.doj.nh.gov/consumer/security-breaches/documents/abercrombie-fitch-20150415.pdf,"April 15, 2015","Abercrombie & Fitch, ",New Hampshire
17,https://www.doj.nh.gov/consumer/security-breaches/documents/abilene-telco-fcu-20111010.pdf,"October 10, 2011","Abilene Telco FCU, ",New Hampshire
18,https://www.doj.nh.gov/consumer/security-breaches/documents/academy-of-art-20160412.pdf,"April 12, 2016","Academy of Art University, ",New Hampshire
19,https://www.doj.nh.gov/consumer/security-breaches/documents/academy-nutrition-dietetics-20160802.pdf,"August 02, 2016","Academy of Nutrition and Dietetics, ",New Hampshire
20,https://www.doj.nh.gov/consumer/security-breaches/documents/ace-surgical-supply-20150915.pdf,"September 15, 2015","Ace Surgical Supply, ",New Hampshire
21,https://www.doj.nh.gov/consumer/security-breaches/documents/acer-service-20160603.pdf,"June 03, 2016","Acer Service Corporation, ",New Hampshire
22,https://www.doj.nh.gov/consumer/security-breaches/documents/accucom-20120222.pdf,"February 22, 2012","Accucom Corporation, ",New Hampshire
23,https://www.doj.nh.gov/consumer/security-breaches/documents/acosta-20141212.pdf,"December 12, 2014","Acosta, Inc. (Mosaic Sales Solutions US Operating Co. LLC), ",New Hampshire
24,https://www.doj.nh.gov/consumer/security-breaches/documents/acquis-consulting-20181220.pdf,"December 20, 2018","Acquis Consulting Group LLC,   ",New Hampshire
25,https://www.doj.nh.gov/consumer/security-breaches/documents/acronis-20160304.pdf,"March 04, 2016","Acronis, Inc., ",New Hampshire
26,https://www.doj.nh.gov/consumer/security-breaches/documents/actelis-networks-20131213.pdf,"December 13, 2013","Actelis Networks, Inc. ",New Hampshire
27,https://www.doj.nh.gov/consumer/security-breaches/documents/actifio-20160302.pdf,"March 02, 2016","Actifio, Inc., ",New Hampshire
28,https://www.doj.nh.gov/consumer/security-breaches/documents/active-20180223.pdf,"February 23, 2018","ACTIVE Network, ",New Hampshire
29,https://www.doj.nh.gov/consumer/security-breaches/documents/activeoutdoors-20160919.pdf,"September 19, 2016","ACTIVEOutdoors, ",New Hampshire
30,https://www.doj.nh.gov/consumer/security-breaches/documents/acumentrics-20120611.pdf,"June 11, 2012","Acumentrics Corporation, ",New Hampshire
31,https://www.doj.nh.gov/consumer/security-breaches/documents/adf-20170412.pdf,"April 12, 2017","ADF International, Inc., ",New Hampshire
32,https://www.doj.nh.gov/consumer/security-breaches/documents/adobe-systems-20131002.pdf,"October 02, 2013","Adobe Systems, ",New Hampshire
33,https://www.doj.nh.gov/consumer/security-breaches/documents/adopt-a-highway-20181203.pdf,"December 03, 2018","Adopt A Highway Maintenance Corporation, ",New Hampshire
34,https://www.doj.nh.gov/consumer/security-breaches/documents/advance-auto-20150315.pdf,"March 15, 2016","Advance Auto Parts, ",New Hampshire
35,https://www.doj.nh.gov/consumer/security-breaches/documents/advanced-data-processing-20121128.pdf,"November 28, 2012","Advanced Data Processing, Inc., ",New Hampshire
36,https://www.doj.nh.gov/consumer/security-breaches/documents/advanced-graphic-20180201.pdf,"February 01, 2018","Advanced Graphic Products, Inc., ",New Hampshire
37,https://www.doj.nh.gov/consumer/security-breaches/documents/advancepierre-20111006.pdf,"October 06, 2010","AdvancePierre Foods, ",New Hampshire
38,https://www.doj.nh.gov/consumer/security-breaches/documents/advantage-funding-20140926.pdf,September 26 2014,"Advantage Funding Company, ",New Hampshire
39,https://www.doj.nh.gov/consumer/security-breaches/documents/advisory-reearch-20171024.pdf,"October 24, 2017","Advisory Research, Inc., ",New Hampshire
40,https://www.doj.nh.gov/consumer/security-breaches/documents/advocate-medical-group-20130823.pdf,"August 23, 2013","Advocate Medical Group, ",New Hampshire
41,https://www.doj.nh.gov/consumer/security-breaches/documents/aegis-20111220.pdf,"December 20, 2011","Aegis Sciences Corporation, ",New Hampshire
42,https://www.doj.nh.gov/consumer/security-breaches/documents/aerogrow-international-20150603.pdf,"June 03, 2015","AeroGrow International, Inc., ",New Hampshire
43,https://www.doj.nh.gov/consumer/security-breaches/documents/aerogrow-20150709.pdf,"July 09, 2015","AeroGrow International, Inc., ",New Hampshire
44,https://www.doj.nh.gov/consumer/security-breaches/documents/aerserv-20181206.pdf,"December 02, 2018","AerServ, owned by InMobi, ",New Hampshire
45,https://www.doj.nh.gov/consumer/security-breaches/documents/aetna-20161229.pdf,"December 29, 2016","Aetna, ",New Hampshire
46,https://www.doj.nh.gov/consumer/security-breaches/documents/aetrex-20190122.pdf,"January 22, 2019","Aetrex Worldwide, Inc.,  ",New Hampshire
47,https://www.doj.nh.gov/consumer/security-breaches/documents/affinity-gaming-20140516.pdf,May 16 2014,"Affinity Gaming, ",New Hampshire
48,https://www.doj.nh.gov/consumer/security-breaches/documents/affinity-gaming-20131219.pdf,"December 19, 2013","Affinity Gaming, ",New Hampshire
49,https://www.doj.nh.gov/consumer/security-breaches/documents/affy-tapple-20170224.pdf,"February 24, 2017","Affy Tapple, LLC, ",New Hampshire
50,https://www.doj.nh.gov/consumer/security-breaches/documents/aflac-20180928.pdf,"September 28, 2018","Aflac, ",New Hampshire
51,https://www.doj.nh.gov/consumer/security-breaches/documents/aflac-20151003.pdf,"October 03, 2016","Aflac, ",New Hampshire
52,https://www.doj.nh.gov/consumer/security-breaches/documents/ag-source-20190205.pdf,"February 05, 2019","AG Source, Inc.,  ",New Hampshire
53,https://www.doj.nh.gov/consumer/security-breaches/documents/agenus-20160419.pdf,"April 19, 2016","Agenus, ",New Hampshire
54,https://www.doj.nh.gov/consumer/security-breaches/documents/agri-beef-20170511.pdf,"May 11, 2017",Agri Beef Co.,New Hampshire
55,https://www.doj.nh.gov/consumer/security-breaches/documents/ahw-llc-20131111.pdf,"November 11, 2013","AHW LLC, ",New Hampshire
56,https://www.doj.nh.gov/consumer/security-breaches/documents/ahw-20130522.pdf,May 22 2013,"AHW LLC, ",New Hampshire
57,https://www.doj.nh.gov/consumer/security-breaches/documents/airborn-20140613.pdf,June 13 2014,"AirBorn, Inc., ",New Hampshire
58,https://www.doj.nh.gov/consumer/security-breaches/documents/aim-20160426.pdf,"April 2, 2016","AIM, Inc., ",New Hampshire
59,https://www.doj.nh.gov/consumer/security-breaches/documents/aimbridge-20190103.pdf,"January 3, 2019","Ambridge Hospitality Holdings, LLC, ",New Hampshire
60,https://www.doj.nh.gov/consumer/security-breaches/documents/aimbridge-20180607.pdf,"June 07, 2018","Aimbridge Hospitality Holdings, LLC, ",New Hampshire
61,https://www.doj.nh.gov/consumer/security-breaches/documents/air-canada-20180831.pdf,"August 31, 2018","Air Canada, ",New Hampshire
62,https://www.doj.nh.gov/consumer/security-breaches/documents/airway-oxygen-20170602.pdf,"June 02, 2017","Airway Oxygen, Inc., ",New Hampshire
63,https://www.doj.nh.gov/consumer/security-breaches/documents/airway-oxygen-20170530.pdf,"May 30, 2017","Airway Oxygen, Inc., ",New Hampshire
64,https://www.doj.nh.gov/consumer/security-breaches/documents/akira-20170901.pdf,"September 01, 2017","Akira, ",New Hampshire
65,https://www.doj.nh.gov/consumer/security-breaches/documents/akorn-20150604.pdf,"June 04, 2015","Akorn, Inc., ",New Hampshire
