,Name of Entity,PDF text (ALL),Link to PDF,State Reported
0,"Capital Asset Management Group, Inc. ","b'Return Mail Processing Center\nP.O. Box 6336\nPortland, OR 97228-6336\n\n<<Mail ID>>\n<<Name 1>>\n<<Name 2>>\n<<Address 1>>\n<<Address 2>>\n<<Address 3>>\n<<Address 4>> \n<<Address 5>>\n<<City>><<State>><<Zip>>\n<<Country>>\n\n<<Date>>\n\nDear <<Name 1>>:\nCapital Asset Management Group, Inc. (\xe2\x80\x9cCapital\xe2\x80\x9d) is committed to protecting the confidentiality and security of \nthe personal information we maintain. We are writing to inform you about an incident that involved some of your \ninformation, which was provided to Capital in connection with information that you or your loved one completed for \nfinancial planning or asset management services. This notice explains the incident, measures that have been taken, \nand some steps you can take in response.\nOn February 6, 2019, we completed our investigation and analysis of a phishing campaign aimed at Capital. Upon \ninitial discovery of the incident, Capital took immediate action to secure the employee\xe2\x80\x99s email account and launched \nan investigation, with the assistance of a leading forensics firm. The investigation determined that the employee\xe2\x80\x99s \nemail account had been accessed by an unauthorized party between February 8, 2018 and September 7, 2018. Further, \nthe investigation could not rule out the possibility that the unauthorized party may have accessed some of Capital\xe2\x80\x99s \nsystems, which contain client information. We then began the extensive process of searching the employee\xe2\x80\x99s inbox \nand our systems that may have been subject to unauthorized access to identify the contents. We determined that the \nemail account and systems that may have been accessed by the unauthorized party may have contained some of your \npersonal information, such as your <<variable data>>\nAlthough, to date, we have no indication that any of your information was misused, we are nonetheless informing \nyou of this incident, and we want to assure you that we take it very seriously. As a precaution, we have arranged for \nyou to receive a complimentary one-year membership of Experian\xe2\x80\x99s\xc2\xae IdentityWorksSM Credit 3B. This product helps \ndetect possible misuse of your personal information and provides you with identity protection services focused on \nidentification and resolution of identity theft. IdentityWorks Credit 3B is completely free to you, and enrolling in this \nprogram will not hurt your credit score. For more information on identity theft prevention and IdentityWorks \nCredit 3B, including instructions on how to activate your complimentary one-year membership, as well as \ninformation on additional steps you can take, please see the information provided in the pages that follow this \nletter.\nWe regret any inconvenience caused by this incident. To help prevent a similar incident from occurring in the future, \nwe have hired a new vendor to enhance our existing security measures. In addition, we have implemented multi-factor \nauthentication for email and are now using a new platform to help us monitor suspicious activity on our network. We \nare also providing additional training to our employees regarding phishing emails and other cybersecurity issues. \nIf you have questions about this matter or the recommended next steps, please call 877-734-5491, Monday through \nFriday, between 9:00 a.m. to 9:00 p.m., Eastern Time.\nSincerely,\n\nJohn E. Girouard\nPresident and CEO\nCapital Asset Management Group, Inc.\n\nX1401 v.02 02.21.2019\n\n\x0cTo help protect your identity, we are offering a complimentary one-year membership of Experian IdentityWorksSM \nCredit 3B. This product helps detect possible misuse of your personal information and provides you with identity \nprotection support focused on immediate identification and resolution of identity theft. \n\nActivate IdentityWorks Credit 3B Now in Three Easy Steps\n\n1.  ENROLL by: <<Enrollment Deadline>> (Your code will not work after this date.)\n2.  VISIT the Experian IdentityWorks website to enroll: https://www.experianidworks.com/3bcredit\n3.  PROVIDE the Activation Code: <<Activation Code>> \nIf you have questions about the product, need assistance with identity restoration or would like an alternative to \nenrolling  in  Experian  IdentityWorks  online,  please  contact  Experian\xe2\x80\x99s  customer  care  team  at  877-890-9332.  Be \nprepared to provide engagement number <<ENGAGEMENT NUMBER>> as proof of eligibility for the identity \nrestoration services by Experian. \nADDITIONAL DETAILS REGARDING YOUR 12-MONTH EXPERIAN IDENTITYWORKS CREDIT 3B \nMEMBERSHIP:\nA credit card is not required for enrollment in Experian IdentityWorks Credit 3B.\nYou  can  contact  Experian  immediately  without  needing  to  enroll  in  the  product  regarding  any  fraud  issues. \nIdentity Restoration specialists are available to help you address credit and non-credit related fraud. \nOnce you enroll in Experian IdentityWorks, you will have access to the following additional features:\n\nreports are available for online members only.*\n\n \xc2\x83 Experian credit report at signup: See what information is associated with your credit file. Daily credit \n \xc2\x83 Credit Monitoring: Actively monitors Experian, Equifax and Transunion files for indicators of fraud.\n \xc2\x83 Experian IdentityWorks ExtendCARETM:  You receive the same high-level of Identity Restoration support \n \xc2\x83 $1 Million Identity Theft Insurance**:  Provides coverage for certain costs and unauthorized electronic \n\neven after your Experian IdentityWorks membership has expired.\nfund transfers.\n\nActivate your membership today at https://www.experianidworks.com/3bcredit\n\nor call 877-890-9332 to register with the activation code above.\n\nWhat you can do to protect your information: There are additional actions you can consider taking to reduce the \nchances of identity theft or fraud on your account(s). Please refer to www.ExperianIDWorks.com/restoration for \nthis information. If you have any questions about IdentityWorks, need help understanding something on your credit \nreport or suspect that an item on your credit report may be fraudulent, please contact Experian\xe2\x80\x99s customer care team \nat 877-890-9332. \n\nADDITIONAL STEPS YOU CAN TAKE\n\nRegardless of whether you choose to take advantage of this complimentary credit monitoring, we recommend that \nyou remain vigilant for incidents of fraud or identity theft by reviewing your account statements and free credit \nreports for any unauthorized activity. You may obtain a copy of your credit report, free of charge, once every 12 \nmonths from each of the three nationwide credit reporting companies. To order your annual free credit report, please \nvisit www.annualcreditreport.com or call toll free at 1-877-322-8228. Contact information for the three nationwide \ncredit reporting companies is as follows: \n\nEquifax, PO Box 740241, Atlanta, GA 30374, www.equifax.com, 1-800-685-1111\nExperian, PO Box 2002, Allen, TX 75013, www.experian.com, 1-888-397-3742\nTransUnion, PO Box 2000, Chester, PA 19016, www.transunion.com, 1-800-916-8800\n\nIf you believe you are the victim of identity theft or have reason to believe your personal information has been \nmisused, you should immediately contact the Federal Trade Commission and/or the Attorney General\xe2\x80\x99s office in your \nstate. You can obtain information from these sources about steps an individual can take to avoid identity theft as well \nas information about fraud alerts and security freezes. You should also contact your local law enforcement authorities \nand file a police report. Obtain a copy of the police report in case you are asked to provide copies to creditors to \ncorrect your records. Contact information for the Federal Trade Commission is as follows:\n\n* Offline members will be eligible to call for additional reports quarterly after enrolling.\n** Identity theft insurance is underwritten by insurance company subsidiaries or affiliates of American International Group, Inc. (AIG). The \ndescription herein is a summary and intended for informational purposes only and does not include all terms, conditions and exclusions of \nthe policies described. Please refer to the actual policies for terms, conditions, and exclusions of coverage. Coverage may not be available in \nall jurisdictions.\nX1402 v.02 02.21.2019\n\n\x0cFederal Trade Commission, Consumer Response Center, 600 Pennsylvania Avenue, NW Washington, DC \n20580, www.ftc.gov/idtheft, 1-877-IDTHEFT (438-4338)\n\nIf you are a resident of Maryland or North Carolina, you may contact and obtain information from your state \nattorney general at:\n\nMaryland  Attorney  General\xe2\x80\x99s  Office,  200  St.  Paul  Place,  Baltimore,  MD  21202  www.oag.state.md.us, \n1-888-743-0023  (toll  free  when  calling  within  Maryland)  1-410-576-6300  (for  calls  originating  outside \nMaryland)\nNorth Carolina Attorney General\xe2\x80\x99s Office, 9001 Mail Service Center, Raleigh, NC 27699, www.ncdoj.gov, \n1-919-716-6400 or toll free at 1-877-566-7226\n\nFraud Alerts:  There are two types of fraud alerts you can place on your credit report to put your creditors on notice \nthat you may be a victim of fraud\xe2\x80\x94an initial alert and an extended alert. You may ask that an initial fraud alert be \nplaced on your credit report if you suspect you have been, or are about to be, a victim of identity theft. An initial fraud \nalert stays on your credit report for at least 90 days. You may have an extended alert placed on your credit report if \nyou have already been a victim of identity theft with the appropriate documentary proof. An extended fraud alert \nstays on your credit report for seven years. You can place a fraud alert on your credit report by contacting any of the \nthree national credit reporting agencies.\nCredit Freezes:  You have the right to put a credit freeze, also known as a security freeze, on your credit file, free of \ncharge, so that no new credit can be opened in your name without the use of a PIN number that is issued to you when \nyou initiate a freeze. A security freeze is designed to prevent potential credit grantors from accessing your credit \nreport without your consent. If you place a security freeze, potential creditors and other third parties will not be able \nto get access to your credit report unless you temporarily lift the freeze. Therefore, using a security freeze may delay \nyour ability to obtain credit. \nThere is no fee to place or lift a security freeze. Unlike a fraud alert, you must separately place a security freeze on \nyour credit file at each credit reporting company. \nFor  information  and  instructions  to  place  a  security  freeze,  contact  each  of  the  credit  reporting  agencies  at  the \naddresses below:\n\nExperian Security Freeze, PO Box 9554, Allen, TX 75013, www.experian.com\nTransUnion Security Freeze, PO Box 2000, Chester, PA 19016, www.transunion.com \nEquifax Security Freeze, PO Box 105788, Atlanta, GA 30348, www.equifax.com\n\nTo request a security freeze, you will need to provide the following information: \n\n1.  Your full name (including middle initial as well as Jr., Sr., II, III, etc.)\n2.  Social Security number\n3.  Date of birth\n4.  If you have moved in the past five years, provide the addresses where you have lived over the prior five years\n5.  Proof of current address such as a current utility bill or telephone bill\n6.  A legible photocopy of a government issued identification card (state driver\xe2\x80\x99s license or ID card, military \nidentification, etc.)\nIf you are a victim of identity theft, include a copy of the police report, investigative report, or complaint to \n7. \na law enforcement agency concerning identity theft.\n\nThe credit reporting agencies have one business day after receiving your request by toll-free telephone or secure \nelectronic means, or three business days after receiving your request by mail, to place a security freeze on your credit \nreport. The credit bureaus must also send written confirmation to you within five business days and provide you with \na unique personal identification number (\xe2\x80\x9cPIN\xe2\x80\x9d) or password or both that can be used by you to authorize the removal \nor lifting of the security freeze.\nTo lift the security freeze in order to allow a specific entity or individual access to your credit report, or to lift \na security freeze for a specified period of time, you must submit a request through a toll-free telephone number, \na secure electronic means maintained by a credit reporting agency, or by sending a written request via regular, \ncertified, or overnight mail to the credit reporting agencies and include proper identification (name, address, and \nSocial Security number) and the PIN number or password provided to you when you placed the security freeze as \nwell as the identity of those entities or individuals you would like to receive your credit report or the specific period \nof time you want the credit report available. The credit reporting agencies have one business day after receiving your \nrequest by toll-free telephone or secure electronic means, or three business days after receiving your request by mail, \nto lift the security freeze for those identified entities or for the specified period of time.\n\nX1403 v.02 02.21.2019\n\n\x0cTo remove the security freeze, you must submit a request through a toll-free telephone number, a secure electronic \nmeans maintained by a credit reporting agency, or by sending a written request via regular, certified, or overnight \nmail to each of the three credit bureaus and include proper identification (name, address, and Social Security number) \nand the PIN number or password provided to you when you placed the security freeze. The credit bureaus have one \nbusiness day after receiving your request by toll-free telephone or secure electronic means, or three business days \nafter receiving your request by mail, to remove the security freeze.\nFair Credit Reporting Act: You also have rights under the federal Fair Credit Reporting Act, which promotes the \naccuracy, fairness, and privacy of information in the files of consumer reporting agencies. The FTC has published a \nlist of the primary rights created by the FCRA (https://www.consumer.ftc.gov/articles/pdf-0096-fair-credit-reporting-act.pdf), \nand that article refers individuals seeking more information to visit www.ftc.gov/credit.\nThe FTC\xe2\x80\x99s list of FCRA rights includes:\n\n y You have the right to receive a copy of your credit report. The copy of your report must contain all the \ninformation in your file at the time of your request.\n y Each of the nationwide credit reporting companies \xe2\x80\x93 Experian, TransUnion and Equifax \xe2\x80\x93 is required to \nprovide you with a free copy of your credit report, at your request, once every 12 months.\n y You  are  also  entitled  to  a  free  report  if  a  company  takes  adverse  action  against  you,  like  denying  your \napplication for credit, insurance, or employment, and you ask for your report within 60 days of receiving \nnotice of the action. The notice will give you the name, address, and phone number of the credit reporting \ncompany. You\xe2\x80\x99re also entitled to one free report a year if you\xe2\x80\x99re unemployed and plan to look for a job within \n60 days; if you\xe2\x80\x99re on welfare; or if your report is inaccurate because of fraud, including identity theft.\n\n y You have the right to ask for a credit score.\n y You have the right to dispute incomplete or inaccurate information.\n y Consumer reporting agencies must correct or delete inaccurate, incomplete, or unverifiable information.\n y Consumer reporting agencies may not report outdated negative information.\n y Access to your file is limited. You must give your consent for reports to be provided to employers.\n y You may limit \xe2\x80\x9cprescreened\xe2\x80\x9d offers of credit and insurance you get based on information in your credit report.\n y You may seek damages from violators.\n y Identity theft victims and active duty military personnel have additional rights.\n\nX1404 v.02 02.21.2019\n\n\x0c'",https://ago.vermont.gov/blog/2019/02/26/capital-asset-management-group-inc-notice-of-data-breach-to-consumers/,Vermont
1,DiPardo Eremic & Co. CPA’s ,"b"" \n\n \n\n \nFebruary 25, 2019 \n \nFirst name][last name] \n[Street_Address] \n[City][State][Zip] \n \n \nDear [First Name][Last name]: \n \nWe are writing to inform you of an incident involving unauthorized access to your personal information, including your name, \naddress, Social Security number and related tax information.  We take the security of your information very seriously and sincerely \nregret any inconvenience this may cause you.  This letter contains information about what occurred, steps you can take to protect \nyour information and resources we are making available to help you do that. \n \nOn October 10, 2018, we discovered that a small handful of our clients had tax returns filed by an unknown, unauthorized third \nparty.  We immediately contacted our tax preparation software provider and engaged forensic cyber experts to investigate the \nsource of this activity, the  magnitude of the fraudulently filed returns and whether our systems were at risk.   In addition, we \npromptly submitted on your behalf a Form 14039, Identity Theft Affidavit, which informs the IRS of the fraudulent activity.  As \nyou are aware, we requested that you sign another copy of this form and we submitted it again to the IRS, along with those who \nhad not filed their 2017 returns.  \n \n\n \n\n \n\n \n\n \n\n \n\nBecause we value you and the safety of your information, out of an abundance of caution, we have arranged with CyberScout, \nan identity theft education and resolution specialist, to provide you with Single Bureau Credit Monitoring and Triple Bureau \nCredit Report1 services at no cost to you.  These services provide you with alerts for 12 months from the date of enrollment \nwhen changes occur to your Experian credit file.  This notification is sent to you the same day that the change or update takes \nplace with the bureau.  In addition, we are providing you with proactive fraud assistance to help with any questions that you might \nhave  or  in  event  that  you  become  a  victim  of  fraud. \n  To  enroll  in  these  free  services,  please  log  on  to \nhttps://www.myidmanager.com  and follow  the instructions provided.  When prompted, please provide the following unique \ncode to receive services: <CODE HERE>  \n \nWe assure you that we have taken steps to secure our systems with the latest security protocols and are pleased to report that our \nswift  action  has  stopped  the  issuance  of  unauthorized  refunds.    This  includes  changing  our  IRS  EFIN  numbers  and  resetting \nemployees\xe2\x80\x99 access credentials for our computers and tax preparation software.  In addition, our software supplier has implemented \nenhanced encryption protection for all of their clients to ensure that best practices to safeguard personal information are being \nfollowed. \n \nWe  sincerely  regret  any  inconvenience  that  this  incident  may  cause  you,  and  remain  dedicated  to  protecting  your  personal \ninformation.  Should you have any questions or concerns, or to obtain additional information about the free services described \nabove, please call the CyberScout help line at 1-800-405-6108 and provide the fraud specialist with your unique code. \n\n \n\nIf you desire to contact us directly to aid you in this matter, or if you have any questions that we have not answered previously, \nplease don\xe2\x80\x99t hesitate to reach out to us.  We are here to service you in all matters, and especially in protecting your information. \n\n \n\n \n\n \n\n \n\n \n\n \n\n \n\n \n\n \nSincerely, \nDiPardo Eremic & Co. CPA's \nDaniele R. DiPardo CPA  \n \n\n \n\n \n\n \n\n \n\n                                                           \n1 These services require an internet connection and e-mail account and may not be available to minors under the age of 18 years of age.  Please note \nthat when signing up for monitoring services, you may be asked to verify personal information for your own protection to confirm your identity. \n\n \n\n \n\n\x0cFor residents of Hawaii, Michigan, Missouri, Virginia, Vermont, and North Carolina: It is recommended by state law that you remain vigilant \nfor incidents of fraud and identity theft by reviewing credit card account statements and monitoring your credit report for unauthorized \nactivity. \n\nAdditional Important Information \n\n \n\nFor residents of Illinois, Iowa, Maryland, Missouri, North Carolina, Oregon, and West Virginia: \nIt is required by state laws to inform you that you may obtain a copy of your credit report, free of charge,  whether or not you suspect \nany unauthorized activity on your account .  You may obtain a free copy of your credit report from each of the three nati onwide credit \nreporting agencies.  To order your free credit report, please visit www.annualcreditreport.com, or call toll-free at 1-877-322-8228.  You can also \norder \n(available  at \nhttps://www.consumer.ftc.gov/articles/0155-free-credit-reports) to: Annual Credit Report Request Service, P.O. Box 105281, Atlanta, GA, 30348-\n5281. \n\ncompleted  Annual  Credit  Report  Request \n\nreport  by  mailing  a \n\nyour  annual \n\ncredit \n\nForm \n\nfree \n\nFor residents of Iowa: \nState law advises you to report any suspected identity theft to law  enforcement or to the Attorney General. \n\nFor residents of Oregon: \nState laws advise you to report any suspected identity theft to law enforcement, including the Attorney General, and the Fede ral Trade \nCommission. \n\nFor residents of Maryland, Rhode Island, Illinois, and North Carolina: \nYou can obtain information from the Maryland and North Carolina Offices of the Attorney General and the Federal Trade Commiss ion \nabout fraud alerts, security freezes, and steps you can take toward preve nting identity theft. \n \n\nMaryland Office of the \nAttorney General \nConsumer Protection Division \n200 St. Paul Place \nBaltimore, MD 21202 \n1-888-743-0023 \nwww.oag.state.md.us \n\n \n\nRhode Island Office of the \nAttorney General \nConsumer Protection \n150 South Main Street  \nProvidence RI 02903 \n1-401-274-4400 \nwww.riag.ri.gov  \n\nNorth Carolina Office of the \nAttorney General \nConsumer Protection Division \n9001 Mail Service Center \nRaleigh, NC 27699-9001 \n1-877-566-7226 \nwww.ncdoj.com \n\nFederal Trade Commission \n \nConsumer Response Center \n600 Pennsylvania Ave, NW \nWashington, DC 20580 \n1-877-IDTHEFT (438-4338) \nwww.ftc.gov/idtheft \n\nby \n\nthe \n\ncan \n\nYou \n\nplace \n\nfraud \n\nthree \n\ncredit \n\nphone \n\nbureaus \n\nalerts  with \n\nand  online  with \n\nFor residents of all states: \n \nFraud  Alerts: \nEquifax \n(https://assets.equifax.com/assets/personal/Fraud_Alert_Request_Form.pdf) or Experian (https://www.experian.com/fraud/center.html).  A fraud \nalert tells creditors to follow certain procedures, including contacting you, before they open any new accounts or change your existing accounts.  For \nthat reason, placing a fraud alert can protect you, but also may delay you when you seek to obtain credit.  As of September 21, 2018, initial fraud \nalerts last for one year. Victims of identity theft can also get an extended fraud alert for seven years.  The phone numbers for all three credit bureaus \nare at the bottom of this page.  \n \nMonitoring: You should always remain vigilant and monitor your accounts for suspicious or unusual activity. \n \nSecurity Freeze: You also have the right to place a security freeze on your credit report.  A security freeze is intended to prevent credit, loans, and \nservices from being approved in your name without your consent.  To place a security freeze on your credit report, you need to make a request to \neach consumer reporting agency.  You may make that request by certified mail, overnight mail, regular stamped mail, or by following the instructions \nfound at the websites listed below.  The following information must be included when requesting a security freeze (note that if you are requesting a \ncredit report for your spouse or a minor under the age of 16, this information must be provided for him/her as well): (1) full name, with middle initial \nand any suffixes; (2) Social Security number; (3) date of birth; (4) current address and any previous addresses for the past  five years; and (5) any \napplicable incident report or complaint with a law enforcement agency or the Registry of Motor Vehicles.  The request must also include a copy of a \ngovernment-issued identification card and a copy of a recent utility bill or bank or insurance statement.  It is essential that each copy be legible, \ndisplay your name and current mailing address, and the date of issue.  As of September 21, 2018, it is free to place, lift, or remove a security freeze.  \nYou may also place a security freeze for children under the age of 16.  You may obtain a free security freeze by contacting any one or more of the \nfollowing national consumer reporting agencies: \n\nEquifax Security Freeze \nP.O. Box 105788 \nAtlanta, GA 30348 \nwww.freeze.equifax.com \n800-525-6285 \n \nMore information can also be obtained by contacting the Federal Trade Commission listed above.  \n \n\nExperian Security Freeze \nP.O. Box 9554 \nAllen, TX 75013 \nwww.experian.com/freeze \n888-397-3742 \n\n \n \n \n \n \n\n \n \n \n \n \n\nTransUnion (FVAD) \nP.O. Box 2000 \nChester, PA 19022 \nfreeze.transunion.com  \n800-680-7289 \n\n \n \n\n \n\n \n7428732v.1 \n\n\x0c""",https://ago.vermont.gov/blog/2019/02/25/dipardo-eremic-co-cpas-notice-of-data-breach-to-consumers/,Vermont
2,Discover ,b'\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c',https://ago.vermont.gov/blog/2019/02/25/discover-notice-of-data-breach-to-consumers-4/,Vermont
3,Pasquotank County ,"b'Pasquotank County \n \nC/O ID Experts \nP.O. Box 10444  \nDublin, OH 43017-4044 \n \n \n \n<<First Name>> <<Last Name>> \n<<Address1>> <<Address2>>  \n<<City>>, <<State>> <<Zip>> \n \n \n \n \n\n \n\nTo Enroll, Please Call: \n\n(800) 374-9013 \n\nOr Visit: \n\nhttps://ide.myidcare.com/ \n\npasquotankcounty  \n\nEnrollment Code: <<XXXXXXX>> \n\n \n\nNotice of Data Breach \n\nFebruary 25, 2019 \n\nDear <<First Name>> <<Last Name>>, \n\nWhat Happened  \n \nIn late December, Pasquotank County, North Carolina, became aware of what looked like an unauthorized intrusion into a \nserver housing  billing information relating to the emergency  medical transportation services that the County provides. \nCounty  immediately  began  an  investigation  along  with  law  enforcement,  and  the  investigators  determined  that  the \nintrusion resulted from actions by a hacker operating from outside of the United States.  Although there is evidence that \nthe information in question was accessed, the County has no evidence that the information was taken by the intruder, or \nthat there has been any misuse of any of the information.   \n \nWhat Information Was Involved \n \nThe  information  that  was  exposed  may  have  included  your  social security  number,  your  date  of  birth  and/or  medical \ninformation collected by the EMT service.   \n \nWhat We Are Doing \n \nThe  County  takes  its  responsibility  for  the  security  of  your  personal  information  very  seriously,  and  is  reviewing  its \nsecurity and data storage programs to prevent such events from happening again.   \n \nIn addition, we are offering identity theft protection services through ID Experts\xc2\xae, the data breach and recovery services \nexpert, to provide you with MyIDCare\xe2\x84\xa2. MyIDCare services include: 12 months of credit and CyberScan monitoring, a \n$1,000,000  insurance  reimbursement  policy,  and  fully  managed  id  theft  recovery  services.  With  this  protection, \nMyIDCare will help you resolve issues if your identity is compromised. \n \nWhat You Can Do \n \nWe encourage you to contact ID Experts with any questions and to enroll in free MyIDCare services by calling (800) 374-\n9013  or  going  to  https://ide.myidcare.com/pasquotankcounty  and  using  the  Enrollment  Code  provided  above. \nMyIDCare experts are available Monday through Friday from 5 am - 5 pm Pacific Time. Please note the deadline to enroll \nis May 26, 2019. \n \nAgain, at this time, there is no evidence that your information has been misused. However, we encourage you to take full \nadvantage  of  this  service  offering.  MyIDCare  representatives  have  been  fully  versed  on  the  incident  and  can  answer \nquestions or concerns you may have regarding protection of your personal information.  \n \n\n \n\n\x0c \n \nFor More Information \n \nYou will find detailed instructions for enrollment on the enclosed Recommended Steps document. Also, you will need to \nreference the enrollment code at the top of this letter when calling or enrolling online, so please do not discard this letter. \n \nPlease call (800) 374-9013 or go to https://ide.myidcare.com/pasquotankcounty for assistance or for any additional \nquestions you may have.  \n \n \nSincerely, \n \n\n \nSparty Hammett \nCounty Manager \n \n(Enclosure) \n \n \n\n \n\n \n\n \n\n\x0cRecommended Steps to help Protect your Information \n\n \n\n1. Website and Enrollment. Go to https://ide.myidcare.com/pasquotankcounty and follow the instructions for \nenrollment using your Enrollment Code provided at the top of the letter.  \n\n2.  Activate  the  credit  monitoring  provided  as  part  of  your  MyIDCare  membership.  The  monitoring  included  in  the \nmembership must be activated to be effective. Note: You must have established credit and access to a computer and the \ninternet to use this service. If you need assistance, MyIDCare will be able to assist you. \n\n3.  Telephone.  Contact  MyIDCare  at  (800)  374-9013  to  gain  additional  information  about  this  event  and  speak  with \nknowledgeable representatives about the appropriate steps to take to protect your credit identity. \n\n4. Review your credit reports. We recommend that you remain vigilant by reviewing account statements and monitoring \ncredit reports. Under federal law, you also are entitled every 12 months to one free copy of your credit report from each of \nthe three major credit reporting companies. To obtain a free annual credit report, go to www.annualcreditreport.com or \ncall 1-877-322-8228. You may wish to stagger your requests so that you receive a free report by one of the three credit \nbureaus every four months.  \n\nIf you discover any suspicious items and have enrolled in MyIDCare, notify them immediately by calling or by logging \ninto the MyIDCare website and filing a request for help.  \n\nIf you file a request for help or report suspicious activity, you will be contacted by a member of our ID Care team who \nwill help you determine the cause of the suspicious items. In the unlikely event that you fall victim to identity theft as a \nconsequence of this incident, you will be assigned an ID Care Specialist who will work on your behalf to identify, stop \nand reverse the damage quickly.  \n\nYou should also know that you have the right to file a police report if you ever experience identity fraud. \n\n5. Place Fraud Alerts with the three credit bureaus. If you choose to place a fraud alert, we recommend you do this after \nactivating your credit monitoring. You can place a fraud alert at one of the three major credit bureaus by phone and also \nvia Experian\xe2\x80\x99s or Equifax\xe2\x80\x99s website. A fraud alert tells creditors to follow certain procedures, including contacting you, \nbefore they open any new accounts or change your existing accounts. For that reason, placing a fraud alert can protect \nyou, but also may delay you when you seek to obtain credit. The contact information for all three bureaus is as follows: \n\nCredit Bureaus  \n\nEquifax Fraud Reporting \n\n1-866-349-5191 \nP.O. Box 105069 \n\nAtlanta, GA 30348-5069 \nwww.alerts.equifax.com \n\nExperian Fraud Reporting \n\n1-888-397-3742 \nP.O. Box 9554 \nAllen, TX 75013 \nwww.experian.com \n\n \n\nTransUnion Fraud Reporting \n\n1-800-680-7289 \nP.O. Box 2000 \n\nChester, PA 19022-2000 \nwww.transunion.com \n\nIt is necessary to contact only ONE of these bureaus and use only ONE of these methods. As soon as one of the three \nbureaus  confirms  your  fraud  alert,  the  others  are  notified  to  place  alerts  on  their  records  as  well.  You  will  receive \nconfirmation letters in the mail and will then be able to order all three credit reports, free of charge, for your review. An \ninitial fraud alert will last for one year. \n\nPlease Note: No one is allowed to place a fraud alert on your credit report except you. \n \n\n \n\n\x0c \n \n6.  Security  Freeze.  By  placing  a  security  freeze,  someone  who  fraudulently  acquires  your  personal  identifying \ninformation will not be able to use that information to open new accounts or borrow money in your name. You will need \nto contact the three national credit reporting bureaus listed above to place the freeze. Keep in mind that when you place \nthe freeze, you will not be able to borrow money, obtain instant credit, or get a new credit card until you temporarily lift \nor permanently remove the freeze. There is no cost to freeze or unfreeze your credit files. \n \n7.  You  can  obtain  additional  information  about  the  steps  you  can  take  to  avoid  identity  theft  from  the  following \nagencies. The Federal Trade Commission also encourages those who discover that their information has been misused to \nfile a complaint with them. \n \nCalifornia  Residents:  Visit  the  California  Office  of  Privacy  Protection  (http://www.ca.gov/Privacy)  for  additional \ninformation on protection against identity theft.  \n \nKentucky Residents: Office of the Attorney General of Kentucky, 700 Capitol Avenue, Suite 118 Frankfort, Kentucky \n40601, www.ag.ky.gov, Telephone: 1-502-696-5300. \n \nMaryland  Residents:  Office  of  the  Attorney  General  of  Maryland,  Consumer  Protection  Division  200 St.  Paul  Place \nBaltimore, MD 21202, www.oag.state.md.us/Consumer, Telephone: 1-888-743-0023.  \n \nNew  Mexico  Residents:  You  have  rights  pursuant  to  the  Fair  Credit  Reporting  Act,  such  as  the  right  to  be  told  if \ninformation in your credit file has been used against you, the right to know what is in your credit file, the right to ask for \nyour  credit  score,  and  the  right  to  dispute  incomplete  or  inaccurate  information.   Further,  pursuant  to  the  Fair  Credit \nReporting Act, the consumer reporting agencies must correct or delete inaccurate, incomplete, or unverifiable information; \nconsumer reporting agencies may not report outdated negative information; access to your file is limited; you must give \nyour consent for credit reports to be provided to employers; you may limit \xe2\x80\x9cprescreened\xe2\x80\x9d offers of credit and insurance \nyou get based on information in your credit report; and you may seek damages from a violator. You may have additional \nrights under the Fair Credit Reporting Act not summarized here. Identity theft victims and active duty military personnel \nhave specific additional rights pursuant to the Fair Credit Reporting Act.  You can review your rights pursuant to the Fair \nCredit Reporting Act by visiting  www.consumerfinance.gov/f/201504_cfpb_summary_your-rights-under-fcra.pdf, or by \nwriting  Consumer  Response  Center,  Room  130-A,  Federal  Trade  Commission,  600  Pennsylvania  Ave.  N.W., \nWashington, D.C. 20580. \n \nNorth Carolina Residents: Office of the Attorney General of North Carolina, 9001 Mail Service Center \nRaleigh, NC 27699-9001, www.ncdoj.gov, Telephone: 1-919-716-6400. \n \nOregon Residents: Oregon Department of Justice, 1162 Court Street NE, Salem, OR 97301-4096, www.doj.state.or.us/, \nTelephone: 877-877-9392 \n \nRhode  Island  Residents:  Office  of  the  Attorney  General,  150  South  Main  Street,  Providence,  Rhode  Island  02903, \nwww.riag.ri.gov, Telephone: 401-274-4400 \n \nAll  US  Residents:  Identity  Theft  Clearinghouse,  Federal  Trade  Commission,  600  Pennsylvania  Avenue,  NW \nWashington, DC 20580, www.consumer.gov/idtheft, 1-877-IDTHEFT (438-4338), TTY: 1-866-653-4261. \n \n\n \n\n\x0c'",https://ago.vermont.gov/blog/2019/02/25/pasquotank-county-notice-of-data-breach-to-consumers/,Vermont
4,"Investment Professionals, Inc ",b'\x0c\x0c\x0c\x0c\x0c',https://ago.vermont.gov/blog/2019/02/25/investment-professionals-inc-notice-of-data-breach-to-consumers-2/,Vermont
5,"Investment Professionals, Inc ",b'\x0c\x0c\x0c\x0c\x0c',https://ago.vermont.gov/blog/2019/02/25/investment-professionals-inc-notice-of-data-breach-to-consumers/,Vermont
