,Data Stolen,Dates of Breach,Details,Name of Entity,Notice Provided to Consumers,Who's Affected,State Reported
0,"Cardholder's name, payment card number, expiration date, and CVV code.","January 3, 2019 through January 24, 2019","On January 4, 2019, North Country Business Products, Inc. learned of suspicious activity occurring within certain client networks. North Country launched an investigation and on January 30, 2019, the investigation determined that an unauthorized party was able to deploy malware to certain North Country business partners and restaurants between January 3, 2019, and January 24, 2019, that collected credit and debit card information. North Country can be reached at 1-877-204-9537, Monday through Friday (excluding U.S. holidays), 9:00 a.m. to 9:00 p.m. EST. North Country’s business partners located in Wisconsin:Dunn Brothers Coffee of Hudson, WI (Transactions Occurring from 1/4/2019 to 1/10/2019)Dunn Brothers Coffee of New Richmond, WI (Transactions Occurring on 1/4/2019)Dunn Brothers Coffee of West Bend, WI (Transactions Occurring on 1/4/2019)East Bay Restaurant & Bar of Holcombe, WI (Transactions Occurring on 1/4/2019)Sconni’s Alehouse And Eatery of Schofield, WI (Transactions Occurring on 1/4/2019)The Ranch Supper Club of Hayward, WI (Transactions Occurring on 1/4/2019)  If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.","North Country Business Products, Inc.","February 15, 2019",Unknown number of affected individuals including an unknown number of Wisconsin residents.,Wisconsin
1,"Name, payment card number, expiration date, and card security code.","Between August 28, 2018 and December 3, 2018","On November 28, 2018 Caribou Coffee Company identified unusual activity on their network. Caribou Coffee Co. conducted an investigation and determined there was unauthorized access to their point of sale systems exposing some customers’ data. Caribou Coffee Co. is reporting that the unauthorized access was stopped and the breach has been contained. A full list of affected locations can be viewed at https://assets.coffeeandbagels-static.com/cariboucoffee/Data-Security-Notice.pdfCaribou Coffee Co can be reach at (877) 698-3760, Monday through Friday, from 9:00 a.m. to 9:00 p.m. EST and weekends from 9:00 a.m. to 5:00 p.m. EST or by email at inquiries@cariboucoffee.com. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Caribou Coffee Co.,"December 20, 2018",Unknown number of affected individuals including an unknown number of Wisconsin residents.,Wisconsin
2,"Name, payment card number, expiration date, and card security code.","Between August 28, 2018 and December 3, 2018","On November 28, 2018 Bruegger’s identified unusual activity on their network. Bruegger’s conducted an investigation and determined there was unauthorized access to their point of sale systems exposing some customers’ data. Bruegger’s is reporting that the unauthorized access was stopped and the breach has been contained. A full list of affected locations can be viewed at https://assets.coffeeandbagels-static.com/brueggers/Data-Security-Notice.pdf Bruegger’s can be reach at (877) 698-3760, Monday through Friday, from 9:00 a.m. to 9:00 p.m. EST and weekends from 9:00 a.m. to 5:00 p.m. EST or by email at inquiries@brueggers.comIf you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Bruegger’s Bagels,"December 20, 2018",Unknown number of affected individuals including an unknown number of Wisconsin residents.,Wisconsin
3,"Name, payment card number, expiration date, and card security code.","Between August 28, 2018 and December 3, 2018","On November 28, 2018 Coffee and Bagel Brands identified unusual activity on their network. Coffee and Bagel Brands conducted an investigation and determined there was unauthorized access to their point of sale systems exposing some customers’ data. Coffee and Bagel Brands is reporting that the unauthorized access was stopped and the breach has been contained.A full list of affected locations can be viewed at https://assets.coffeeandbagels-static.com/coffeeandbagels/Data-Security-Notice.pdf.Coffee and Bagel Brands can be reach at (877) 698-3760, Monday through Friday, from 9:00 a.m. to 9:00 p.m. EST and weekends from 9:00 a.m. to 5:00 p.m. EST or by email at inquiries@coffeeandbagels.comIf you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Coffee and Bagel Brands,"December 20, 2018",Unknown number of affected individuals including an unknown number of Wisconsin residents.,Wisconsin
4,"Name, date of birth, address, phone number, email address, passport number, Starwood Preferred Guest account information, gender, arrival and departure information, reservation date, payment card numbers and payment card expiration dates.",Since 2014,"On September 8, 2018, Marriott received an alert from an internal security tool regarding an attempt to access the Starwood guest reservation database. Marriott engaged leading security experts to help determine what occurred. Marriott learned during the investigation that there had been unauthorized access to the Starwood network since 2014. On November 30, 2018, Marriott started notifying affected individuals by email. Marriott is providing affected individuals one year of WebWatcher monitoring. Marriott has set up a dedicated website to answer questions at https://Info.starwoodhotels.com and they can be reached at their call center at 877-273-9481. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Marriott International,"November 30, 2018",Approximately 500 million affected individuals including an unknown number of Wisconsin residents.,Wisconsin
5,"Name, date of birth, address, sex, last four digits of the Social Security number, expected income, tax filing status, immigration document types and numbers, employer, insurance plan, premium, and dates of coverage.","October 16, 2018","On October 16, 2018, Healthcare.gov found that a number of agent and broker accounts engaged in excessive searching for consumers, and through those searches, had access to the personal information of people who are listed on Marketplace applications. Healthcare.gov immediately shut off these accounts, and shut off the entire agent and broker function while changes were made to improve security. Healthcare.gov is continuing to investigate this breach and putting additional security measures in place. Healthcare.gov is offering 12 months of identity theft protection services through ID Experts® who can be contacted by calling toll-free (877) 916-8382 / International (616) 425-8364 / TTY (866) 405-2133 or going to https://secure.myidcare.com/enrollment/1?RTN=90000216. Agents are available Monday through Saturday from 9:00am – 9:00pm Eastern Time. The deadline to enroll is February 7, 2019. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Healthcare.gov,"November 7, 2018","75,000 affected individuals including an unknown number of Wisconsin residents.",Wisconsin
6,"Name, date of birth, Social Security number, address, hire date, termination date, and 401K contribution information.","May 23, 2018","On August 6, 2018, Five Guys learned they were a victim of a phishing email incident that resulted in unauthorized access to an employee’s email account. Five Guys immediately secured the email account and conducted an internal investigation, which determined the email inbox contained personally identifiable employee information. Five Guys is offering a one year membership for Experian’s® IdentityWorks to affected individuals. Five Guys can be contacted with questions at 1-888-842-3153, Monday through Friday between 9:00am and 9:00pm Eastern Time. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.","Five Guys Holdings, Inc.","November 2, 2018","Approximately 19,000 affected individuals including approximately 600 Wisconsin residents.",Wisconsin
7,"Name, address, date of birth, and financial account number.",April 2018,"On July 2, 2018, Roadrunner Transportation Systems became aware they were the target of a phishing attack and that several employees clicked on phishing emails. Roadrunner Transportation Systems conducted an investigation and determined there was unauthorized access to several employee email accounts in April 2018. Roadrunner Transportation Systems notified all affected individuals by letter on October 8, 2018 and are offering 12 months of credit monitoring services through Kroll. Roadrunner Transportation Systems can be contacted at 1-833-228-5713 Monday through Friday 9:00am to 6:00pm (EST). If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Roadrunner Transportation Systems,"October 8, 2018",Unknown number of affected individuals including an unknown number of Wisconsin residents.,Wisconsin
8,"Name, phone number, email address, account number, account type, and billing zip code.","August 20, 2018","On August 20, 2018, T-Mobile USA Inc. discovered and shut down what it describes as unauthorized access to certain information. In an online statement, T-Mobile USA Inc. confirmed that Social Security numbers, financial data, and passwords were not involved in this breach. T-Mobile USA Inc. customers can contact Customer Care by dialing 611 from your mobile phone. T-Mobile USA Inc. has posted an online disclosure at: https://www.t-mobile.com/customers/6305378821.If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",T-Mobile USA Inc.,"August 23, 2018",Unknown number of affected individuals including an unknown number of Wisconsin residents.,Wisconsin
9,"Name, Social Security number, Driver’s license number, date of birth, address, telephone number, email address, medical and health plan numbers, license plate numbers, fingerprints, full-face photos and more.","January 1, 2013 through March 28, 2018","On March 28, 2018, Adams County became aware of questionable activity on the Adams County computer system and network. An investigation confirmed a data breach had occurred from January 1, 2013 through March 28, 2018. On June 29, 2018, Adams County received a forensic report that there is evidence of unauthorized access and/or unauthorized acquisition of Personally Identifiable Information, Personal Health Information and/or Tax Intercept Information that was on the Adams County computer network and system during the time of this data breach. You may contact Adams County with questions and concerns: by calling County Administrator Casey Bradley at (833) 236-0173 between the hours of 8:00 a.m. and 4:30 p.m.,sending an e-mail message to databreach@co.adams.wi.us, oraddressing a letter to Adams County PO Box 102, Friendship WI 53934. A notification letter can be viewed at the Adams County website http://www.co.adams.wi.us/data_breach/index.php.If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.","Adams County, WI","August 10, 2018","258,120 affected individuals, an unknown number of these individuals are Wisconsin residents.",Wisconsin
